[EVENT] Type: Freespan | Timestamp: Line-75 | Confidence: 0.8441165013033174 | Bounds: [-243.6, 295.9] @ [2257.2, 2326.0]
[EVENT] Type: Rock | Timestamp: Line-79 | Confidence: 0.7 | Bounds: [719.5, 751.5] @ [2357.9, 2371.3]
[EVENT] Type: Rock | Timestamp: Line-79 | Confidence: 0.7 | Bounds: [979.0, 1011.8] @ [2384.0, 2389.0]
[EVENT] Type: Rock | Timestamp: Line-79 | Confidence: 0.7 | Bounds: [1076.4, 1093.9] @ [2388.2, 2389.0]
[EVENT] Type: Freespan | Timestamp: Line-79 | Confidence: 0.8511335148800685 | Bounds: [-246.0, 292.8] @ [2256.1, 2326.4]
[EVENT] Type: Rock | Timestamp: Line-87 | Confidence: 0.7 | Bounds: [754.3, 770.4] @ [2366.9, 2377.6]
[EVENT] Type: Rock | Timestamp: Line-87 | Confidence: 0.7 | Bounds: [784.3, 794.0] @ [2364.7, 2366.9]
[EVENT] Type: Rock | Timestamp: Line-87 | Confidence: 0.7 | Bounds: [905.3, 944.9] @ [2349.5, 2388.8]
[EVENT] Type: Rock | Timestamp: Line-87 | Confidence: 0.7 | Bounds: [1051.8, 1085.8] @ [2393.5, 2405.1]
[EVENT] Type: Freespan | Timestamp: Line-87 | Confidence: 0.8022621045029177 | Bounds: [-251.8, 292.8] @ [2265.0, 2325.5]
[EVENT] Type: Anode | Timestamp: Line-91 | Confidence: 0.8 | Bounds: [266.7, 272.8] @ [1882.9, 1895.8]
[EVENT] Type: Rock | Timestamp: Line-91 | Confidence: 0.7 | Bounds: [508.8, 553.5] @ [2338.7, 2349.5]
[EVENT] Type: Rock | Timestamp: Line-91 | Confidence: 0.7 | Bounds: [599.7, 658.1] @ [2357.6, 2373.5]
[EVENT] Type: Rock | Timestamp: Line-91 | Confidence: 0.7 | Bounds: [911.0, 985.6] @ [2316.1, 2358.1]
[EVENT] Type: Rock | Timestamp: Line-91 | Confidence: 0.7 | Bounds: [1028.2, 1080.5] @ [2379.8, 2398.3]
[EVENT] Type: Rock | Timestamp: Line-91 | Confidence: 0.7 | Bounds: [1110.4, 1116.1] @ [2380.4, 2398.0]
[EVENT] Type: Freespan | Timestamp: Line-91 | Confidence: 0.820907450973175 | Bounds: [-253.8, 287.2] @ [2261.9, 2326.1]
[EVENT] Type: Rock | Timestamp: Line-99 | Confidence: 0.7 | Bounds: [474.2, 549.1] @ [2330.2, 2344.6]
[EVENT] Type: Rock | Timestamp: Line-99 | Confidence: 0.7 | Bounds: [629.2, 688.0] @ [2366.9, 2386.5]
[EVENT] Type: Rock | Timestamp: Line-99 | Confidence: 0.7 | Bounds: [778.2, 839.7] @ [2247.8, 2338.7]
[EVENT] Type: Rock | Timestamp: Line-99 | Confidence: 0.7 | Bounds: [845.2, 850.3] @ [2246.1, 2246.1]
[EVENT] Type: Rock | Timestamp: Line-99 | Confidence: 0.7 | Bounds: [883.8, 953.9] @ [2238.0, 2269.6]
[EVENT] Type: Freespan | Timestamp: Line-99 | Confidence: 0.8298588696596448 | Bounds: [-261.0, 280.0] @ [2261.0, 2327.0]
[EVENT] Type: Rock | Timestamp: Line-107 | Confidence: 0.7 | Bounds: [344.6, 369.8] @ [2336.5, 2342.4]
[EVENT] Type: Rock | Timestamp: Line-107 | Confidence: 0.7 | Bounds: [460.4, 582.5] @ [2242.6, 2349.2]
[EVENT] Type: Rock | Timestamp: Line-107 | Confidence: 0.7 | Bounds: [629.9, 640.3] @ [2376.0, 2379.8]
[EVENT] Type: Rock | Timestamp: Line-107 | Confidence: 0.7 | Bounds: [740.7, 808.4] @ [2234.3, 2380.1]
[EVENT] Type: Rock | Timestamp: Line-107 | Confidence: 0.7 | Bounds: [872.0, 1085.6] @ [2238.2, 2397.4]
[EVENT] Type: Freespan | Timestamp: Line-107 | Confidence: 0.7776884373723874 | Bounds: [-267.7, 276.3] @ [2267.5, 2323.0]
[EVENT] Type: Rock | Timestamp: Line-111 | Confidence: 0.7 | Bounds: [368.3, 381.2] @ [2349.5, 2349.5]
[EVENT] Type: Rock | Timestamp: Line-111 | Confidence: 0.7 | Bounds: [408.9, 458.9] @ [2341.1, 2366.3]
[EVENT] Type: Rock | Timestamp: Line-111 | Confidence: 0.7 | Bounds: [471.9, 613.1] @ [2254.3, 2380.1]
[EVENT] Type: Rock | Timestamp: Line-111 | Confidence: 0.7 | Bounds: [685.5, 692.0] @ [2389.0, 2389.3]
[EVENT] Type: Rock | Timestamp: Line-111 | Confidence: 0.7 | Bounds: [729.5, 805.7] @ [2248.1, 2388.8]
[EVENT] Type: Rock | Timestamp: Line-111 | Confidence: 0.7 | Bounds: [863.1, 1090.7] @ [2226.0, 2415.9]
[EVENT] Type: Freespan | Timestamp: Line-111 | Confidence: 0.8336752798507655 | Bounds: [-269.2, 271.0] @ [2262.5, 2329.2]
[EVENT] Type: Rock | Timestamp: Line-115 | Confidence: 0.7 | Bounds: [415.9, 423.1] @ [2339.0, 2342.7]
[EVENT] Type: Rock | Timestamp: Line-115 | Confidence: 0.7 | Bounds: [435.7, 490.7] @ [2286.1, 2358.1]
[EVENT] Type: Rock | Timestamp: Line-115 | Confidence: 0.7 | Bounds: [378.5, 577.3] @ [1764.4, 2353.2]
[EVENT] Type: Rock | Timestamp: Line-115 | Confidence: 0.7 | Bounds: [711.2, 783.1] @ [2284.3, 2362.2]
[EVENT] Type: Rock | Timestamp: Line-115 | Confidence: 0.7 | Bounds: [843.0, 873.0] @ [2273.6, 2278.4]
[EVENT] Type: Rock | Timestamp: Line-115 | Confidence: 0.7 | Bounds: [879.4, 889.8] @ [2278.4, 2278.7]
[EVENT] Type: Rock | Timestamp: Line-115 | Confidence: 0.7 | Bounds: [942.7, 1017.3] @ [2289.9, 2324.1]
[EVENT] Type: Freespan | Timestamp: Line-115 | Confidence: 0.8307315476446456 | Bounds: [-273.0, 267.2] @ [2260.7, 2326.8]
[EVENT] Type: Rock | Timestamp: Line-119 | Confidence: 0.7 | Bounds: [454.9, 575.4] @ [2266.0, 2373.2]
[EVENT] Type: Rock | Timestamp: Line-119 | Confidence: 0.7 | Bounds: [704.2, 765.9] @ [2310.9, 2349.5]
[EVENT] Type: Rock | Timestamp: Line-119 | Confidence: 0.7 | Bounds: [788.7, 794.4] @ [2296.6, 2300.5]
[EVENT] Type: Rock | Timestamp: Line-119 | Confidence: 0.7 | Bounds: [823.7, 867.2] @ [2294.8, 2304.6]
[EVENT] Type: Rock | Timestamp: Line-119 | Confidence: 0.7 | Bounds: [956.9, 1014.6] @ [2315.4, 2332.5]
[EVENT] Type: Freespan | Timestamp: Line-119 | Confidence: 0.8061435546464781 | Bounds: [-276.6, 266.8] @ [2264.9, 2326.2]
[EVENT] Type: Rock | Timestamp: Line-123 | Confidence: 0.7 | Bounds: [-665.4, -600.4] @ [2252.0, 2275.9]
[EVENT] Type: Rock | Timestamp: Line-123 | Confidence: 0.7 | Bounds: [442.7, 532.5] @ [2264.0, 2323.8]
[EVENT] Type: Rock | Timestamp: Line-123 | Confidence: 0.7 | Bounds: [596.5, 614.1] @ [2338.2, 2344.9]
[EVENT] Type: Rock | Timestamp: Line-123 | Confidence: 0.7 | Bounds: [616.6, 634.4] @ [2249.8, 2258.0]
[EVENT] Type: Rock | Timestamp: Line-123 | Confidence: 0.7 | Bounds: [629.5, 736.0] @ [2130.1, 2353.8]
[EVENT] Type: Rock | Timestamp: Line-123 | Confidence: 0.7 | Bounds: [691.5, 771.9] @ [2137.0, 2332.5]
[EVENT] Type: Rock | Timestamp: Line-123 | Confidence: 0.7 | Bounds: [742.5, 825.7] @ [2207.0, 2336.5]
[EVENT] Type: Rock | Timestamp: Line-123 | Confidence: 0.7 | Bounds: [949.5, 1022.3] @ [2348.9, 2377.9]
[EVENT] Type: Freespan | Timestamp: Line-123 | Confidence: 0.8031476703960743 | Bounds: [-278.5, 265.4] @ [2266.6, 2327.2]
[EVENT] Type: Rock | Timestamp: Line-127 | Confidence: 0.7 | Bounds: [-687.6, -563.9] @ [2250.0, 2282.2]
[EVENT] Type: Rock | Timestamp: Line-127 | Confidence: 0.7 | Bounds: [464.4, 557.6] @ [2311.2, 2366.9]
[EVENT] Type: Rock | Timestamp: Line-127 | Confidence: 0.7 | Bounds: [563.2, 750.2] @ [2129.2, 2366.6]
[EVENT] Type: Rock | Timestamp: Line-127 | Confidence: 0.7 | Bounds: [917.5, 990.4] @ [2379.8, 2411.6]
[EVENT] Type: Freespan | Timestamp: Line-127 | Confidence: 0.8139337911204189 | Bounds: [-279.4, 261.2] @ [2263.4, 2326.2]
[EVENT] Type: Rock | Timestamp: Line-131 | Confidence: 0.7 | Bounds: [-685.0, -566.8] @ [2251.8, 2286.1]
[EVENT] Type: Rock | Timestamp: Line-131 | Confidence: 0.7 | Bounds: [467.6, 472.7] @ [2349.5, 2356.0]
[EVENT] Type: Rock | Timestamp: Line-131 | Confidence: 0.7 | Bounds: [546.4, 862.2] @ [2143.8, 2411.9]
[EVENT] Type: Rock | Timestamp: Line-131 | Confidence: 0.7 | Bounds: [913.2, 943.7] @ [2411.6, 2413.9]
[EVENT] Type: Freespan | Timestamp: Line-131 | Confidence: 0.8368698875429845 | Bounds: [-280.2, 258.5] @ [2261.1, 2328.5]
[EVENT] Type: Rock | Timestamp: Line-135 | Confidence: 0.7 | Bounds: [-664.4, -601.6] @ [2273.8, 2292.0]
[EVENT] Type: Rock | Timestamp: Line-135 | Confidence: 0.7 | Bounds: [491.8, 497.2] @ [2357.9, 2358.1]
[EVENT] Type: Rock | Timestamp: Line-135 | Confidence: 0.7 | Bounds: [527.5, 577.9] @ [2276.1, 2313.0]
[EVENT] Type: Rock | Timestamp: Line-135 | Confidence: 0.7 | Bounds: [315.7, 750.0] @ [986.9, 2327.8]
[EVENT] Type: Rock | Timestamp: Line-135 | Confidence: 0.7 | Bounds: [934.9, 953.5] @ [2413.6, 2416.2]
[EVENT] Type: Freespan | Timestamp: Line-135 | Confidence: 0.8191267380735234 | Bounds: [-282.0, 258.0] @ [2262.6, 2326.4]
[EVENT] Type: Rock | Timestamp: Line-139 | Confidence: 0.7 | Bounds: [-663.0, -655.2] @ [2292.5, 2294.5]
[EVENT] Type: Rock | Timestamp: Line-139 | Confidence: 0.7 | Bounds: [372.2, 381.9] @ [2351.6, 2353.8]
[EVENT] Type: Rock | Timestamp: Line-139 | Confidence: 0.7 | Bounds: [516.9, 578.9] @ [2279.9, 2323.5]
[EVENT] Type: Rock | Timestamp: Line-139 | Confidence: 0.7 | Bounds: [414.1, 760.7] @ [1344.5, 2384.6]
[EVENT] Type: Rock | Timestamp: Line-139 | Confidence: 0.7 | Bounds: [818.2, 839.8] @ [2402.5, 2404.8]
[EVENT] Type: Rock | Timestamp: Line-139 | Confidence: 0.7 | Bounds: [988.0, 1060.1] @ [2344.9, 2397.4]
[EVENT] Type: Freespan | Timestamp: Line-139 | Confidence: 0.8009428617214053 | Bounds: [-283.5, 259.3] @ [2266.8, 2327.0]
[EVENT] Type: Rock | Timestamp: Line-143 | Confidence: 0.7 | Bounds: [-642.6, -627.6] @ [2190.9, 2218.5]
[EVENT] Type: Rock | Timestamp: Line-143 | Confidence: 0.7 | Bounds: [-647.1, -605.1] @ [2259.8, 2288.4]
[EVENT] Type: Rock | Timestamp: Line-143 | Confidence: 0.7 | Bounds: [422.5, 460.9] @ [2349.2, 2360.3]
[EVENT] Type: Rock | Timestamp: Line-143 | Confidence: 0.7 | Bounds: [524.4, 592.8] @ [2083.4, 2367.2]
[EVENT] Type: Rock | Timestamp: Line-143 | Confidence: 0.7 | Bounds: [614.1, 624.9] @ [2358.1, 2377.9]
[EVENT] Type: Rock | Timestamp: Line-143 | Confidence: 0.7 | Bounds: [657.3, 701.1] @ [2362.5, 2382.6]
[EVENT] Type: Rock | Timestamp: Line-143 | Confidence: 0.7 | Bounds: [801.9, 818.4] @ [2384.6, 2393.5]
[EVENT] Type: Rock | Timestamp: Line-143 | Confidence: 0.7 | Bounds: [667.6, 1066.1] @ [1611.0, 2398.0]
[EVENT] Type: Rock | Timestamp: Line-143 | Confidence: 0.7 | Bounds: [1085.7, 1126.4] @ [2411.9, 2416.5]
[EVENT] Type: Freespan | Timestamp: Line-143 | Confidence: 0.7922939783839025 | Bounds: [-283.4, 259.3] @ [2268.2, 2326.6]
